skill_level,cooking_time,prep_time,serves,carbohydrate,kcal,protein,salt,saturatedfat,fat,sugar,ingredients
Easy,900,2400,0,36,188,2,0.13,3,5,30,plain flour salted butter golden caster sugar vanilla extract egg yolk ready-to-use royal icing food colouring
Easy,0,300,6,4,106,1,,,,4,orange juice orange blossom water prosecco olive
Easy,300,300,2,19,434,29,3.29,5,29,3,egg Little Gem lettuce hot-smoked salmon caper croÃ»ton dressing
More effort,1800,2100,2,9,685,29,4.4,18,55,4,globe artichoke burrata anchovy caper pine nut mint lemon balsamic vinegar saffron honey extra virgin olive oil
More effort,2400,900,4,17,620,6,0.01,34,59,13,double cream milk vanilla pod egg yolk golden caster sugar
Easy,600,600,4,35,263,1,,,,35,mango granulated sugar root ginger lime Pisco egg white Angostura bitters
More effort,720,3600,0,31,193,2,0.1,4,6,22,plain flour butter white caster sugar vanilla extract egg yolk rosewater edible flower caster sugar egg royal icing sugar edible tweezers paintbrush cutter piping bag piping nozzle tissue paper
Easy,600,300,4,1,318,21,0.97,9,26,1,egg oregano olive oil passata black olive cheddar
Easy,2700,600,2,26,459,16,0.8,6,32,1,baking potato sunflower oil paprika cayenne pepper ham egg tomato ketchup
More effort,1800,1200,2,31,718,34,1.41,16,51,8,quail olive oil butter asparagus spear salad leaf clear honey English mustard soy sauce sherry vinegar vegetable oil sesame oil crÃ¨me fraÃ®che mascarpone white wine vinegar spring onion olive oil new potato
More effort,5700,1800,4,55,1041,51,1.8,33,65,13,unsalted butter plain flour cider full-fat milk Dijon mustard lemon crÃ¨me fraÃ®che leek apple chicken extra mature cheddar puff pastry egg yolk
Easy,1500,2700,4,44,413,29,2.1,3,12,33,black beans dark brown soft sugar garlic clove soy sauce honey Chinese five-spice powder rice vinegar peanut butter red chilli pork loin cornflour vegetable oil shallots radish pak choi spring onion rice
Easy,1200,300,4,31,356,41,1.7,2,9,5,chicken thigh red onion olive oil cherry tomato cumin seed Puy lentils red wine vinegar parsley
Easy,2100,3000,2,54,438,11,0.3,2,14,21,oats coconut coconut carrot parsnip sweet potato Marmite kaffir lime leaf purple sprouting broccoli frozen pea lime green pepper coriander garlic clove ginger lime spring onion green chilli brown rice coriander
Easy,0,300,8,5,134,7,0.61,3,10,4,peach prosciutto parmesan red chilli rocket olive oil grissini stick
Easy,720,300,0,3,75,3,0.5,3,6,1,cocktail blinis cream cheese smoked salmon cress
Easy,4200,600,0,4,25,,0.08,,1,4,onion celery olive oil garlic clove coriander cinnamon stick allspice black pepper celery tomato tomato purÃ©e Tabasco sauce white wine vinegar caster sugar
Easy,3300,600,8,19,129,3,1.19,1,5,3,olive oil carrot celeriac parsnip clear honey black peppercorn
Easy,4200,1200,12,37,549,11,1.04,24,41,25,butter digestive biscuit sugar Philadelphia cheese golden caster sugar plain flour vanilla extract lemon lemon juice large egg soured cream soured cream golden caster sugar lemon juice
Easy,3000,900,0,50,580,25,3.85,10,33,16,vegetable oil pork sausage celery carrot onion tomato purÃ©e butter bean baked beans thyme vegetable stock white bread
Easy,1200,900,2,26,669,34,0.5,6,40,9,potato bay leaves olive oil parsley sprig red onion white wine hake steaks purple sprouting broccoli lemon smoked paprika
Easy,11700,1200,10,15,317,29,4.2,5,16,15,ham hock clementine allspice grated nutmeg star anise bay leaf Dijon mustard black treacle soft light brown sugar
Easy,720,120,4,75,635,26,0.54,16,28,7,pasta broccoli soya bean frozen pea mange tout mascarpone lemon parmesan basil leaf
Easy,0,0,4,16,381,17,0.6,12,25,0,unsalted butter onion garlic clove cep dry white wine chestnut thyme sunflower oil scallop
Easy,0,0,4,21,731,63,0.87,19,39,0,lamb onion thyme red wine parsley
Easy,3600,1200,0,28,329,13,1.49,6,19,5,sunflower oil onion streaky bacon chestnut pork sausage breadcrumb thyme egg butter
Easy,2100,600,4,30,597,18,2.2,13,44,5,new potato chorizo soured cream mayonnaise Dijon mustard celery stalk dill
Easy,1500,300,4,16,257,33,0.9,1,7,9,cherry tomato balsamic vinegar pesto breadcrumbs white fish green bean broccoli
Easy,300,300,1,1,309,22,0.98,8,24,1,egg chive sunflower oil chorizo chilli flakes goat's cheese
More effort,2700,900,4,13,902,39,1,23,78,7,duck thyme bay leaf honey watercress cauliflower shallot butter double cream garlic clove milk vegetable oil
Easy,1500,0,4,13,471,39,0.54,6,29,6,leek olive oil wholegrain mustard clear honey lemon cherry tomato salmon fillet
Easy,1800,600,2,37,264,16,0.4,1,3,11,red lentils carrots celery leeks tomato purÃ©e fresh thyme garlic cloves vegetable bouillon powder coriander
More effort,900,1800,6,90,708,12,0.8,18,36,57,egg golden caster sugar self-raising flour caraway seed lemon butter lemon lemon curd mascarpone icing sugar
Easy,2400,1200,6,4,112,2,0.7,5,9,3,cauliflower butter olive oil capers parsley lemon
More effort,900,1200,2,14,418,13,2.1,9,31,5,celeriac lemon pumpkin seeds extra virgin olive oil butter thyme sprigs garlic chilli flakes chard pecorino
Easy,9000,1200,0,67,470,6,0.42,10,19,54,raisin currant sultana wine butter dark muscovado sugar egg plain flour ground almond mixed spice ground ginger root ginger treacle
Easy,60,300,2,40,525,17,3.9,7,31,5,mixed grains olives lemon & mint grain dressing rocket
Easy,600,1800,12,18,174,9,0.8,2,7,3,plaice plain flour egg breadcrumb curry powder sea salt oil crÃ¨me fraÃ®che mayonnaise mango chutney lime lime coriander
Easy,14400,600,0,,551,45,0.4,13,41,0,thyme garlic clove chilli flakes smoked paprika lemon olive oil pork shoulder
Easy,1200,600,4,26,411,28,0.72,9,22,13,olive oil red onion garlic clove cumin tomato sugar mint lamb apricot breadcrumb pitta bread
Easy,5100,1200,0,45,498,23,1.2,15,25,9,leek broccoli celery potato butter Greek yogurt semi-skimmed milk plain flour English mustard wholegrain mustard mature cheddar frozen pea
Easy,900,300,4,37,481,28,1.3,9,24,7,steak olive oil garlic cloves green peppers hot dog buns smoked cheddar crispy onions
Easy,2400,1200,6,48,652,22,3,17,41,11,shortcrust pastry onion chutney crÃ¨me fraÃ®che mature cheddar egg cherry tomato prosciutto lettuce
Easy,3300,0,6,19,299,5,0.46,6,23,0,puff pastry egg thyme extra-virgin olive oil onion yellow pepper aubergine garlic clove sundried tomato basil rocket lemon juice
Easy,300,600,2,19,555,20,2.5,15,44,3,rye bread soft cheese mackerel fennel bulb red onion caper lemon extra-virgin olive oil chive
Easy,900,2700,16,44,319,4,0.05,9,16,26,mincemeat satsuma apple lemon icing sugar plain flour unsalted butter caster sugar egg
More effort,1200,900,6,52,836,7,0.46,37,68,41,double cream vanilla pod golden caster sugar egg yolk cookie dough
Easy,900,600,4,21,200,12,1.05,2,8,7,olive oil garlic clove courgette frozen pea cannellini bean vegetable stock pesto
Easy,0,300,2,24,119,2,,0.1,0.4,22,banana berry
Easy,18000,3600,5,21,260,29,0.21,1,5,10,rapeseed oil onion carrot celery stick garlic clove passata parsley turkey porridge paprika garlic clove oil
Easy,0,600,0,4,31,1,0.43,,1,2,cherry tomato garlic clove green chilli red pepper bread red wine vinegar
Easy,3300,1200,4,52,403,15,2.9,4,13,25,olive oil onion garlic clove beetroot vegetable stock sourdough bread radish feta
More effort,300,1200,0,27,278,4,0.1,4,7,27,gelatine leaf apple juice golden caster sugar Pimm's strawberries mandarin segment single cream semi-skimmed milk cucumber mint
Easy,0,0,8,41,366,10,1.23,9,19,2,cucumber Greek yogurt mint coriander naan bread olive oil paprika sea salt lemon juice
Easy,720,300,4,90,848,33,2.5,19,39,3,spaghetti olive oil pancetta butter Marmite cheddar parmesan
Easy,600,300,4,5,326,27,0.46,9,22,4,sunflower oil Thai red curry paste onion coconut milk salmon fillet green bean coriander
Easy,11400,600,6,34,477,25,2.3,7,26,31,light brown soft sugar smoked paprika English mustard celery salt garlic granules rib mustard cider vinegar treacle light brown soft sugar Worcestershire sauce chilli sauce chilli powder
Easy,1500,900,0,14,139,2,0.3,1,8,11,olive oil shallot garlic clove breadcrumbs pecans thyme leaves vegetable stock medjool dates sage leaves
Easy,2100,900,4,30,292,11,0.91,3,15,7,aubergine onion olive oil garlic clove chopped tomato oregano cherry tomato chickpea baguette parmesan basil
A challenge,2100,3600,4,39,987,62,3.14,23,61,1.9,pheasant sunflower oil thyme bay leaf carrot onion red wine tomato purÃ©e celeriac butter rosemary venison oil pancetta shallot mushroom parsnip clear honey mustard puff pastry egg yolk thyme
Easy,120,300,8,2,51,3,0.1,2,4,1,cumin seeds mustard seeds mint coriander green chilli Greek yogurt lime
Easy,0,300,1,37,238,5,0.3,1,6,34,coconut water ground cinnamon ground nutmeg ginger hemp seed beetroot blackberry pear kale
Easy,4200,1200,6,17,497,46,3,7,27,16,chicken lemongrass stalk garlic clove ginger red chilli fish sauce soy sauce honey groundnut oil lime rice
More effort,1200,300,8,28,116,,0.01,,,28,golden caster sugar cranberry champagne
Easy,5400,600,0,59,501,7,0.87,13,28,42,unsalted butter hazelnut muscovado sugar self-raising flour egg vanilla extract mixed spice baking powder courgette apple dried fruit
Easy,600,600,2,48,489,24,2.86,6,23,7,mackerel teriyaki spring onion basmati rice cucumber spinach beansprout sugar white wine vinegar
Easy,7200,1500,8,11,530,40,2.87,13,36,10,pork rice wine light soy sauce root ginger garlic clove red chilli vegetable oil spring onion star anise five-spice cinnamon stick sugar tomato purÃ©e chicken stock plum
Easy,900,600,4,18.3,243,28.5,2.1,2.2,6.3,6.2,butter onion medium potato ham frozen petit pois ham
Easy,0,4200,4,29,318,36,0.36,1,7,0,baking potato sweet potato olive oil orange cucumber red onion mint white wine vinegar natural yogurt fish cumin seed
A challenge,2400,1800,6,37,476,36,2.6,6,20,3,chicken buttermilk egg groundnut oil corn on the cob fries coleslaw lemon thyme paprika onion salt garlic granules sea salt plain flour cornflour garlic granules salt chilli powder
Easy,3000,1200,4,43,391,5,0.42,3,23,0,potato goose fat flour salt
Easy,0,600,6,5,122,6,0.5,6,9,4,Greek yogurt mint coriander cucumber
Easy,0,600,2,30,338,21,3.4,3,15,8,mayonnaise tomato ketchup Tabasco sauce prawn roll Little Gem lettuce cucumber avocado lemon cress crisps
Easy,2100,600,4,61,361,21,1.34,1,6,21,olive oil garlic ginger onion courgette red pepper yellow pepper chilli powder red lentil tomato purÃ©e chopped tomato sweetcorn butter bean kidney bean
Easy,12600,900,0,7,273,16,1.1,5,14,7,bourbon star anise pork belly tomato ketchup soy sauce clear honey soured cream
Easy,2700,600,0,6,28,,0.02,,1,6,olive oil onion ginger garlic clove red chilli tomato brown sugar red wine vinegar tomato purÃ©e coriander
Easy,480,300,2,32,403,29,0.8,4,16,2,chicken breast lime chilli powder garlic clove olive oil wrap avocado red pepper coriander
Easy,0,1500,12,24,329,8,,6,21,20,unsalted cashew nuts oil almond date coconut cream coconut oil clear honey vanilla extract lemon blueberry date
Easy,0,600,1,10,223,0.1,0.02,,,10,marmalade ice gin Grand Marnier aperitif wine lemon juice orange zest
Easy,0,1200,0,41,529,30,2.65,9,28,3,bread butter lemon crabmeat mayonnaise tomato ketchup lemon Dijon mustard cayenne pepper brandy crab chive lemon olive oil
Easy,1200,600,4,76,742,43,1.04,15,32,3,penne olive oil shallot steak stilton watercress
Easy,1800,900,0,30,218,8,0.4,4,7,7,large egg plain flour bicarbonate of soda golden caster sugar butter semi-skimmed milk
Easy,0,600,6,2,440,32,4.4,12,34,2,sea salt sugar pork belly
Easy,1800,900,4,28,282,7,0.1,1,14,15,blanched hazelnut coriander seed sesame seed ground cumin butternut squash olive oil
Easy,1500,600,8,2,167,18,1.3,2,10,1,chicken thigh lemon juice of butter yogurt garlic clove ginger red chilli cumin garam masala vegetable oil
Easy,8100,1500,8,52,712,55,0.5,15,31,6,leg of lamb garlic clove rosemary thyme butter onion lamb potato carrot plain flour beef stock Worcestershire sauce green bean
Easy,1800,300,4,51,721,30,2.9,14,43,8,chipolata green pepper onion garlic clove cheese sauce bun
Easy,0,600,6,17,100,4,0.16,1,2,17,cranberry juice raspberry milk natural yogurt caster sugar mint
Easy,1500,600,0,5,52,1,0.1,0.2,2,2,rapeseed oil onion garam masala garlic clove ginger parsnip veg stock kale rapeseed oil chilli powder prosciutto
Easy,0,0,4,,,,,,,0,sirloin steak shallot butter red wine thyme redcurrant mustard
Easy,900,300,4,53,478,14,1.36,4,25,12,falafel couscous lemon olive oil spring onion cucumber mint parsley natural yogurt
Easy,900,900,4,21,248,16,0.2,2,11,17,green bean broccoli vegetable oil mustard seed chilli flakes frozen pea carrot coriander sunflower seed natural yogurt cucumber ginger ground cumin lime mint pitta bread
Easy,3000,900,0,49,452,7,0.9,14,26,31,softened butter caster sugar self-raising flour baking powder large egg almond apricot amaretti biscuit flaked almond
More effort,1200,1800,0,30,206,2,0.03,7,10,26,egg white caster sugar plain flour coconut dark chocolate
Easy,3000,2400,8,71,639,7,0.54,19,38,46,plain flour butter icing sugar ground cinnamon egg muscovado sugar vanilla extract butter plain flour cocoa macadamia nut dark chocolate ice cream
Easy,0,900,4,54,222,4,0.04,,1,54,orange date mint rosewater
Easy,900,300,4,68,495,18,1.48,5,18,1,long grain rice fish stock curry paste pea smoked mackerel crÃ¨me fraÃ®che egg coriander
More effort,180,600,2,41,249,4,,,1,14,raspberry lemon golden caster sugar gelatine elderflower cordial prosecco elderflower
Easy,1500,900,4,64,466,5,0.03,12,23,48,Granny Smith lemon cinnamon plain flour butter brown sugar oats walnut crÃ¨me fraÃ®che
More effort,2400,1800,0,13,175,2,0.2,7,13,11,double cream caster sugar egg yolks buttermilk rye butter sugar
Easy,1500,2100,4,54,983,37,1.35,31,70,7,fennel bulb onion butter garlic clove watercress puff pastry salmon fillet egg watercress crÃ¨me fraÃ®che
Easy,2400,600,4,8,300,32,0.8,5,15,6,Greek yogurt curry powder mango chutney nigella seed chicken drumstick
Easy,600,300,1,45,604,19,2.5,24,40,9,bread butter stilton spring onion cranberry jelly
Easy,5400,0,0,58,308,6,0.46,3,15,11,Bramley apple fruit stem ginger syrup wholemeal flour olive oil muesli muscovado sugar sunflower seed Greek yogurt
Easy,4200,1800,4,46,550,9,0.7,16,35,8,floury potatoes swede olive oil chilli flakes '00' flour parmesan butter sage
A challenge,3000,1800,15,74,659,7,1.1,22,37,54,butter self-raising flour cocoa powder golden caster sugar egg baking powder soured cream butter golden caster sugar egg self-raising flour soured cream peppermint white chocolate icing sugar butter peppermint Malteasers bundt tin star cutter
Easy,1800,300,2,45,511,26,3.4,6,18,6,olive oil banana shallot red wine beef stock baguette Dijon mustard beef parsley caper butter spinach
Easy,5100,600,4,25,895,61,1.75,27,62,7,chicken root ginger lemongrass lime curry paste olive oil new potato coconut milk brown sugar green bean fish sauce peanut basmati rice
Easy,1200,1200,0,26,353,9,1.3,9,22,2,shortcrust pastry lentils feta egg
Easy,10800,1800,4,36,325,15,0.44,5,11,17,rapeseed oil onion garlic clove courgette pepper chopped tomatoes tomato purÃ©e vegetable bouillon basil aubergine lasagne mozzarella
Easy,0,2700,0,34,264,5,0.04,1,13,34,caster sugar icing sugar ground almond orange egg egg yolk marmalade
More effort,1800,1200,4,61,910,45,2.2,15,56,5,vegetable oil onion garlic clove curry powder cumin coconut milk chicken stock mayonnaise turkey desiccated coconut coriander tomato wholemeal flour vegetable oil
A challenge,10800,10800,0,84,639,10,0.37,16,31,64,butter egg caster sugar ground almond orange plain flour baking powder butter egg caster sugar ground almond orange plain flour baking powder syrup raspberry cake board coulis CrÃ¨me patisserie redcurrant egg white caster sugar chocolate dowelling rod strawberry blueberry icing sugar caster sugar water orange peel Cointreau egg yolk vanilla extract caster sugar plain flour milk butter double cream crÃ¨me fraÃ®che plain chocolate liquid glucose
More effort,900,1200,0,21,252,3,0.32,10,18,12,butter golden caster sugar egg lemon self-raising flour blueberry cream icing sugar egg vanilla extract
Easy,0,0,6,14,368,37,0.2,5,18,0,pork chive oregano garlic clove olive oil apple lemon
Easy,900,600,2,14,364,21,1.19,14,24,7,mussel unsalted butter red onion garlic clove cider sage crÃ¨me fraÃ®che
Easy,1800,2100,0,56,728,27,3.1,19,44,10,potato butter milk Red Leicester sunflower oil onion sausage chicken stock tomato baked beans
Easy,2400,600,4,85,782,30,0.6,6,35,15,vegetable oil mustard seeds curry leaf red onion ginger turmeric chilli powder chopped tomato sugar egg coriander basmati rice split red lentil vegetable oil onion ginger green chilli bay leaf naan bread
Easy,900,300,4,26,294,26,0.8,2,10,11,sunflower oil onion green pepper curry paste garlic clove chopped tomato turkey potato mango chutney coriander naan bread
Easy,600,600,2,55,547,28,0.9,13,24,3,linguine garlic clove butter king prawn lemon parsley
Easy,3600,1500,0,26,606,16,1.6,24,48,5,butter onion fresh thyme leaves shortcrust pastry plain flour smoked bacon double cream milk egg nutmeg mature cheddar
Easy,0,600,2,17,259,14,1.7,3,15,15,orange Little Gem lettuce avocado king prawn red onion coriander sweet chilli dipping sauce lime
Easy,2700,1200,6,37,519,8,0.6,5,36,37,extra virgin olive oil onion baby spinach dill rice lemon
More effort,9000,1500,10,3,697,52,0.8,17,49,0,goose bay leaf thyme sprig garlic clove white pepper goose fat onion carrot celery unsalted butter port madeira arrowroot herb
Easy,420,180,4,4,58,5,,,1,3,cauliflower coriander cumin seed
Easy,1500,600,2,66,411,11,1.01,8,13,6,butter onion garlic clove risotto rice vegetable stock frozen pea tarragon parmesan
More effort,6600,900,4,23,736,36,4.6,21,49,17,onion white wine white wine vinegar thyme star anise fennel seed black peppercorn carrot celery stick garlic cloves Savoy cabbage sausages smoked bacon chicken stock mashed potato
Easy,3600,900,0,5,22,0.1,0.1,,0.1,5,Bramley apple eating apple onion red chilli light muscovado sugar cider vinegar date ginger tamarind paste salt
Easy,2400,600,4,38,610,38,1.4,11,33,10,olive oil red onion onion duck leg confit brioche butter Dijon mustard rocket
More effort,3000,2100,10,55,499,8,0.6,14,27,40,pumpkin egg evaporated milk golden caster sugar ginger syrup ground cinnamon ground ginger nutmeg ground cloves vanilla extract pumpkin seeds ginger nut stem ginger butter pumpkin seeds golden caster sugar ginger syrup double cream
Easy,0,300,4,2,171,3,0.03,2,17,2,orange olive oil fennel watercress pine nut
Easy,1200,600,0,68,270,3,0.02,,,68,golden caster sugar vanilla pod cardamom pod lime apricot peach nectarine
Easy,0,0,1,85,721,44,1.4,4,25,12,spinach orange honey soy sauce root ginger garlic clove noodle sesame oil vegetable oil chicken chilli
Easy,1800,1800,0,26,547,5,0.2,30,46,15,puff pastry icing sugar mascarpone double cream vanilla extract raspberries blackberries mango nectarine passion fruit mint leaves
More effort,1500,1200,14,16,449,22,3.05,13,34,0,plain flour baking powder ricotta egg thyme mustard milk unsalted butter back bacon balsamic vinegar extra-virgin olive oil herb salad crÃ¨me fraÃ®che
Easy,600,900,4,9,188,19,1.3,1,8,5,pollock egg Thai curry paste fish sauce cornflour lime green bean sunflower oil sweet chilli dipping sauce salad
Easy,0,0,4,65,340,18,2.38,1,3,0,curry paste onion basmati rice chicken stock prawn pea chilli coriander lemon
Easy,1500,900,4,27,384,30,1.28,3,18,10.4,bread salmon fillet egg white olive oil curry paste onion red pepper passata lentil
Easy,900,1800,6,7,453,31,0.22,13,34,3,asparagus pea broad bean tomato olive oil coriander seed red wine vinegar tarragon mint lamb chop
Easy,2700,900,8,24,153,5,0.35,2,5,3,vegetable stock potato leek butter streaky bacon double cream
Easy,900,300,0,1,87,5,0.3,2,7,1,chorizo prawn harissa garlic clove mayonnaise Greek yogurt parsley
Easy,1200,900,4,23,585,47,1.6,7,34,7,breadcrumb black olive parsley mint lemon anchovy garlic clove pine nut sultana chilli flakes fennel bulb olive oil sardine bay leaf
A challenge,600,2400,8,52,766,11,0.64,31,60,34,egg caster sugar self-raising flour cocoa butter espresso Tia Maria egg caster sugar dark chocolate double cream double cream dark chocolate butter golden syrup Tia Maria espresso cocoa white chocolate
Easy,300,300,4,48,505,34,0.48,10,21,10,harissa paste couscous herb salad lamb demerara sugar
Easy,3300,900,4,52,506,41,1.1,3,14,20,olive oil pork onion apple fig breadcrumb breadcrumb sage egg lemon chicken stock balsamic vinegar quince paste green bean carrot
Easy,9000,1800,4,118,1210,57,0.3,24,55,30,sunflower oil stewing beef onion lemongrass ginger tamarind garlic clove ground turmeric curry powder brown sugar coconut milk new potato banana garam masala coriander lemon juice cashew basmati rice onion
Easy,0,900,4,3,138,10,1.69,2,10,2,smoked salmon fennel red onion lime white wine vinegar olive oil black pepper
Easy,0,300,0,,,,,,,0,black peppercorn fennel seed coriander seed cumin seed mustard seed chilli
Easy,300,600,2,53,354,8,0.3,7,10,52,apricot apricot jam dessert wine crÃ¨me fraÃ®che natural yogurt icing sugar mini meringues
Easy,1200,1200,0,9,163,2,,5,12,4,hazelnuts plain flour buckwheat flour golden caster sugar unsalted butter dark chocolate coconut oil
Easy,0,1200,4,15,167,4,0.12,5,10,11,dark chocolate cocoa powder coffee vanilla extract egg white golden caster sugar Greek yogurt raspberry
Easy,0,0,6,14,256,27,0.45,1,10,1,pumpkin olive oil onion ginger cinnamon chicken tomato sugar harissa chickpea coriander
Easy,1200,480,0,36,491,13,1.14,13,34,2,tomato paste garlic clove puff pastry mozzarella mushroom courgette olive oil oregano
Easy,1800,600,4,77,513,11,1.46,14,20,0,curry paste onion potato sweet potato vegetable stock coconut milk frozen pea coriander
Easy,3000,900,8,15,146,3,0.1,2,7,7,sweet potato olive oil curly kale dukkah Greek yogurt lemon juice sumac garlic clove
Easy,300,300,4,31,212,5,0.3,3,7,31,marshmallow strawberry NestlÃ© Carnation Caramel hazelnut
Easy,1200,900,4,29,486,19,1,14,32,2,puff pastry egg yolk salmon fillet crÃ¨me fraÃ®che wholegrain mustard baby spinach mixed leaf
Easy,0,0,4,20,560,23,1.1,14,44,0,olive oil wholegrain mustard red onion orange baby spinach watercress Cheshire cheese blanched almond crusty bread
Easy,0,0,0,,,,,,,0,elderflower cordial apple juice mint sparkling water
Easy,3300,900,8,30,215,11,1.06,3,6,12,onion celery olive oil sugar garlic clove tomato purÃ©e bay leaf thyme courgette butter bean chopped tomato vegetable stock parmesan pasta basil
Easy,600,900,4,46,338,10,1.19,7,14,12,Thai red curry paste vegetable oil vegetable stock coconut milk brown sugar egg noodle carrot Chinese leaf beansprout cherry tomato lime spring onion coriander
Easy,1800,600,4,23,250,13,0.3,5,13,5,spinach sundried tomato feta cheese egg filo pastry
More effort,3000,1800,6,55,440,7,0.4,12,20,2,potato butter thyme sea salt
Easy,1200,900,4,18,372,34,2.7,7.7,19,3,butter cod olive oil bacon pea lentil lemon mint
More effort,9000,1200,0,7,812,37,1.8,21,70,7,duck Chinese five-spice powder cider ginger garlic clove sesame oil soy sauce honey chilli sauce Sichuan pepper coriander
Easy,600,900,0,6,49,1,0.1,,2,1,tortilla vegetable oil prawn lime mango red onion red chilli coriander
Easy,900,900,0,2,182,24,0.2,3,9,1,leg of lamb yogurt ginger garlic clove red chilli vegetable oil red wine vinegar garam masala ground cumin
Easy,600,300,4,8,435,45,1.14,10,25,3,lamb frozen pea olive oil lemon feta cheese mint spring onion
More effort,0,2400,0,16,329,14,1,12,24,2,plain flour butter cheddar egg milk cheddar asparagus
Easy,600,1200,2,74,674,25,3.6,14,29,12,onion tortilla wraps gruyÃ¨re olive
More effort,5400,3600,10,41,565,32,2.9,11,30,6,chicken thigh onion coriander seed ground coriander ground cumin nutmeg pork sausage lardon parsley dried apricot chicken breast lard plain flour milk egg
Easy,480,900,8,,127,7,0.3,7,11,0,butter chicken brioche cornichon chutney sea salt
Easy,3600,600,2,27,543,33,0.6,5,32,22,beetroots rapeseed oil coriander seed salmon orange pumpkin seed garlic clove red onion baby spinach avocado
More effort,8100,1800,6,28,373,33,0.42,5,14,7,kidney rapeseed oil onion bay leaf thyme steak red wine tomato purÃ©e English mustard plain flour carrot mushroom parsley flour thyme leaf butter Greek yogurt extra-virgin olive oil
More effort,2100,12600,20,57,758,6,1.2,34,56,31,salted butter oil cream cheese vanilla extract icing sugar double cream salted butter golden caster sugar self raising flour vanilla extract egg raspberries hundreds and thousands biscuit ice cream
Easy,600,600,4,18,153,9,1.61,2,6,1,potato plain flour wholegrain mustard butter sunflower oil smoked salmon crÃ¨me fraÃ®che chive
Easy,900,600,4,23,437,13,1.92,4,33,6,aubergine vegetable oil white bread hummus walnut flat-leaf parsley cherry tomato lemon extra-virgin olive oil
Easy,3600,1200,6,24,579,55,0.4,13,29,4,leg of lamb mint coriander garlic clove ginger green chilli cumin seeds lemon new potato peas spring onions Greek yogurt
Easy,0,1800,6,44,288,4,0.1,4,10,40,mango lime coconut milk ice cream mint leaf
Easy,1800,600,4,8,329,34,0.7,3,17,6,olive oil skinless boneless chicken thigh red pepper onion garlic cloves white wine vinegar smoked paprika chicken stock black olives flaked almonds rice
Easy,600,600,1,47,540,17,6.4,5,30,11,vegetable oil onion garlic clove carrot Savoy cabbage brown rice fish sauce soy sauce egg sriracha
Easy,900,600,0,33.2,279,9.5,0.5,2.4,11.9,15.6,quinoa red onion sultana feta cheese pomegranate pine nuts coriander lemon sugar
Easy,2700,900,4,15,865,67,1.6,26,56,15,butter pheasant lardon onion celery sage apple cider chicken stock Savoy cabbage double cream potato
Easy,2100,900,4,80,605,22,0.5,6,20,11,garlic bulb olive oil butternut squash spaghetti sage goat's cheese pine nuts
Easy,0,0,8,2,400,38,1.14,9,27,0,beef stock onion carrot fennel bulb rosemary thyme bay leaf beef fillet lemon juice vinaigrette courgette double cream Little Gem lettuce parmesan
Easy,1200,1800,4,30,383,17,3.23,7,22,17,plain flour egg coconut milk turmeric sunflower oil spring onion asparagus egg golden syrup light soy sauce lime juice red chilli garlic clove peanut cucumber mint
Easy,300,300,2,53,431,14,0.3,3,17,18,tahini milk porridge oats banana seeds sesame seeds
Easy,0,900,6,4,98,1,0.6,1,8,4,tomato banana shallot garlic clove white wine vinegar Dijon mustard extra virgin olive oil basil
Easy,11700,600,8,13.6,393,38.2,5,6.7,20.4,12.7,gammon cola carrot onion celery cinnamon stick peppercorn bay leaf maple syrup wholegrain mustard red wine vinegar clove
Easy,0,900,8,2,18,1,,,1,1,cucumber mint garlic clove ginger natural yogurt
More effort,1800,1500,0,5,66,3,0.33,2,4,0,potato butter cream spring onion crabmeat filo pastry
More effort,7800,2400,0,89,685,8,0.48,19,35,52,quince caster sugar lemon ground cinnamon cornflour butter plain flour almond caster sugar lemon egg plain flour oats caster sugar butter
Easy,2400,1800,8,60,424,14,0.2,2,13,9,basmati rice saffron vegetable oil cauliflower potato red lentil French bean curry leaf frozen pea coriander cashew poppadum onion ginger garlic clove curry powder ground cumin vegetable oil green chilli carrot golden caster sugar lemon juice cashew coriander ginger cumin seed
Easy,2400,600,10,60,428,8,0.1,6,15,38,porridge oat desiccated coconut pumpkin seed dark muscovado sugar sunflower oil maple syrup or honey raisins dark chocolate summer berries and milk
More effort,900,900,0,15,222,17,0.2,1,10,1,white fish vegetable oil masala ginger garlic clove lemon juice cumin red chilli ajwain seeds rice flour garam flour
Easy,2100,600,15,54,433,5,0.31,14,24,42,butter golden caster sugar vanilla extract egg self-raising flour cocoa chocolate butter caster sugar condensed milk chocolate
Easy,720,2700,0,42,405,2,0.6,16,25,25,salted butter icing sugar vanilla extract plain flour cornflour baking powder butter icing sugar vanilla extract raspberry jam
Easy,900,600,2,21,357,14,0.3,2,20,17,noodle tamari ginger garlic cloves apple cider vinegar sesame oil sprout leek cashew nut carrot four-seed mix
Easy,2100,600,4,29,308,22,1,1,7,10,new potato olive oil onion celery garlic clove anchovy chilli flakes chopped tomato white wine vegetable stock king prawn lemon caper parsley bread
Easy,3000,720,8,45,447,7,0.43,10,25,36,nectarine amaretti biscuit butter almond golden caster sugar egg almond marsala crÃ¨me fraÃ®che
Easy,720,1200,0,44,283,5,1.1,6,10,14,butter self-raising flour salt bicarbonate of soda caster sugar milk sugar cube
